change_date,total_shares_10k,reason
2017-12-15,1800000.0,A股上市
2017-12-31,1800000.0,定期报告
2018-06-30,1800000.0,定期报告
2018-12-17,1800000.0,限售股份上市
2018-12-31,1800000.0,定期报告
2019-06-30,1800000.0,定期报告
2019-12-31,1800000.0,定期报告
2020-06-30,1800000.0,定期报告
2020-12-15,1800000.0,限售股份上市
2020-12-31,1800000.0,定期报告
2021-06-30,1800000.0,定期报告
2021-12-31,1800000.0,定期报告
2022-06-30,1800000.0,定期报告
2022-12-31,1800000.0,定期报告
2023-06-30,1800000.0,定期报告
2023-12-31,1800000.0,定期报告
2024-06-30,1800000.0,定期报告
2024-12-31,1800000.0,定期报告
2025-06-30,1800000.0,定期报告
2025-10-14,1863109.4257,增发新股上市
