change_date,total_shares_10k,reason
2012-05-25,16000.0,A股上市
2012-06-30,16000.0,定期报告
2012-12-31,16000.0,定期报告
2013-05-27,16000.0,限售股份上市
2013-06-30,16000.0,定期报告
2013-12-31,16000.0,定期报告
2014-05-28,16000.0,限售股份上市
2014-06-30,16000.0,定期报告
2014-12-31,16000.0,定期报告
2015-05-27,16000.0,限售股份上市
2015-06-30,16000.0,定期报告
2015-12-31,16000.0,定期报告
2016-03-11,40000.0,转增
2016-05-25,40000.0,限售股份上市
2016-06-30,40000.0,定期报告
2016-12-31,40000.0,定期报告
2017-06-07,72000.0,转增
2017-06-30,72000.0,定期报告
2017-12-31,72000.0,定期报告
2018-06-30,72000.0,定期报告
2018-12-31,72000.0,定期报告
2019-06-30,72000.0,定期报告
2019-12-31,72000.0,定期报告
2020-06-30,72000.0,定期报告
2020-12-31,72000.0,定期报告
2021-06-30,72000.0,定期报告
2021-12-31,72000.0,定期报告
2022-06-30,72000.0,定期报告
2022-12-31,72000.0,定期报告
2023-06-30,72000.0,定期报告
2023-12-31,72000.0,定期报告
2024-06-30,72000.0,定期报告
2024-12-31,72000.0,定期报告
2025-06-30,72000.0,定期报告
