label,dd_moderate,dd_severe,hedge_ratio_moderate,hedge_ratio_severe,recover_dd,annual_return,annual_vol,sharpe,max_drawdown,total_return,start,end,days,latest_nav,hedge_ratio_mean_live,hedge_ratio_median_live,hedge_ratio_max_live,hedge_ratio_mean_active,hedge_ratio_median_active,share_above_0p8,share_above_1p0,moderate_or_worse_share,severe_share,recovery_band_share,n_ratio_changes
dd5_6_hr100_110_rec2,0.05,0.06,1.0,1.1,0.02,0.24399631519274068,0.10838688249131072,2.251160930035068,-0.15836946999665516,33.23723932866286,2010-02-02,2026-04-10,3928,34.23723932866286,0.6638747454175152,0.8,1.1,0.8797908232118757,0.8,0.240071283095723,0.12194501018329938,0.570010183299389,0.22377800407331974,0.2683299389002037,342
dd5_10_hr100_110_rec3,0.05,0.1,1.0,1.1,0.03,0.24355015278508363,0.10843302514154178,2.246088333947783,-0.15216787742040486,33.0390586743809,2010-02-02,2026-04-10,3928,34.0390586743809,0.6524439918533605,0.8,1.1,0.864642375168691,0.8,0.22836048879837068,0.031059063136456212,0.4895621181262729,0.0659368635437882,0.1659877800407332,297
dd5_10_hr90_120_rec3,0.05,0.1,0.9,1.2,0.03,0.24361341318610452,0.10856195722785388,2.2440035110531364,-0.14758281584363797,33.06709264686882,2010-02-02,2026-04-10,3928,34.06709264686882,0.6352596741344196,0.8,1.2,0.8418690958164643,0.8,0.23879837067209775,0.02571283095723014,0.4847250509164969,0.062118126272912425,0.15478615071283094,300
dd3_10_hr90_110_rec3,0.03,0.1,0.9,1.1,0.03,0.24193616893965064,0.10805892804606661,2.238928085946872,-0.15056614050340678,32.33109632579977,2010-02-02,2026-04-10,3928,33.33109632579977,0.6373727087576375,0.8,1.1,0.8446693657219975,0.8,0.2907331975560081,0.023167006109979633,0.4938900203665988,0.048116089613034624,0.0,381
dd3_10_hr90_100_rec3,0.03,0.1,0.9,1.0,0.03,0.2415115009323079,0.10788345592901495,2.238633336803906,-0.14893162327295204,32.147127781985695,2010-02-02,2026-04-10,3928,33.147127781985695,0.6349032586558047,0.8,1.0,0.8413967611336033,0.8,0.29022403258655805,0.0,0.4931262729124236,0.04709775967413442,0.0,386
dd4_10_hr90_100_rec3,0.04,0.1,0.9,1.0,0.03,0.24159413236917615,0.10798561456869736,2.2372807094178353,-0.14428992352689765,32.182849361178775,2010-02-02,2026-04-10,3928,33.182849361178775,0.6330193482688391,0.8,1.0,0.8389001349527665,0.8,0.26960285132382894,0.0,0.4977087576374745,0.05015274949083503,0.10259674134419552,322
dd5_10_hr90_100_rec3,0.05,0.1,0.9,1.0,0.03,0.24168106783175025,0.10819530089822003,2.233748285048914,-0.1442899235268976,32.220470557307216,2010-02-02,2026-04-10,3928,33.220470557307216,0.6305753564154788,0.8,1.0,0.8356612685560054,0.8,0.24287169042769857,0.0,0.49363543788187375,0.06288187372708758,0.16013238289205703,299
dd5_10_hr90_100_rec2,0.05,0.1,0.9,1.0,0.02,0.24110725253103182,0.1080617621750356,2.2311986004863833,-0.14428992352689773,31.97289054403364,2010-02-02,2026-04-10,3928,32.97289054403364,0.6322301425661915,0.8,1.0,0.837854251012146,0.8,0.25967413441955195,0.0,0.5880855397148677,0.06109979633401222,0.2576374745417515,296
dd4_10_hr90_100_rec2,0.04,0.1,0.9,1.0,0.02,0.24063121307546398,0.10790427455051932,2.230043379447435,-0.1442899235268976,31.768812054985858,2010-02-02,2026-04-10,3928,32.76881205498586,0.634725050916497,0.8,1.0,0.8411605937921728,0.8,0.2869144602851324,0.0,0.5888492871690427,0.04989816700610998,0.19119144602851323,313
dd5_10_hr100_110_rec2,0.05,0.1,1.0,1.1,0.02,0.2406140876783216,0.10793411270664076,2.22926822340494,-0.15216787742040463,31.761492513620468,2010-02-02,2026-04-10,3928,32.76149251362047,0.6578920570264766,0.8,1.1,0.8718623481781376,0.8,0.2556008146639511,0.031059063136456212,0.5893584521384929,0.0659368635437882,0.26272912423625255,299
dd3_10_hr90_100_rec2,0.03,0.1,0.9,1.0,0.02,0.240138360548237,0.10772470219814027,2.2291856523914593,-0.14893162327295198,31.558774757864512,2010-02-02,2026-04-10,3928,32.55877475786451,0.6386965376782078,0.8,1.0,0.8464237516869098,0.8,0.3281568228105906,0.0,0.5906313645621182,0.04709775967413442,0.09826883910386966,340
dd5_6_hr100_110_rec3,0.05,0.06,1.0,1.1,0.03,0.24241849832447104,0.10885245376345766,2.227037516777157,-0.15836946999665522,32.541205836247514,2010-02-02,2026-04-10,3928,33.541205836247514,0.6597505091649695,0.8,1.1,0.8743252361673415,0.8,0.2214867617107943,0.11787169042769857,0.4824338085539715,0.2303971486761711,0.17438900203665988,344
dd5_10_hr100_120_rec3,0.05,0.1,1.0,1.2,0.03,0.24180521758773255,0.10873751670401337,2.2237515157342913,-0.1538052971579998,32.27426556965575,2010-02-02,2026-04-10,3928,33.27426556965575,0.6574847250509166,0.8,1.2,0.8713225371120109,0.8,0.23676171079429736,0.032331975560081466,0.4961812627291242,0.06695519348268839,0.16547861507128309,292
dd5_10_hr90_120_rec2,0.05,0.1,0.9,1.2,0.02,0.24128106931967852,0.10864213277794839,2.2208793508576306,-0.14758281584363794,32.047702666165186,2010-02-02,2026-04-10,3928,33.047702666165186,0.6379582484725052,0.8,1.2,0.8454453441295549,0.8,0.2604378818737271,0.0274949083503055,0.5870672097759674,0.06262729124236252,0.24923625254582485,294
dd5_10_hr100_130_rec3,0.05,0.1,1.0,1.3,0.03,0.24177609575254277,0.10890763447657908,2.220010533830275,-0.1554486683410666,32.261639529832294,2010-02-02,2026-04-10,3928,33.261639529832294,0.6606670061099797,0.8,1.3,0.8755398110661268,0.8,0.23879837067209775,0.03080448065173116,0.4974541751527495,0.06517311608961303,0.15656822810590632,300
dd5_10_hr90_110_rec3,0.05,0.1,0.9,1.1,0.03,0.24078050926989536,0.10848139008477342,2.219555898774306,-0.14593335536212537,31.832687549194425,2010-02-02,2026-04-10,3928,32.832687549194425,0.6336812627291243,0.8,1.1,0.8397773279352226,0.8,0.2431262729124236,0.028513238289205704,0.49669042769857435,0.06517311608961303,0.16191446028513237,301
dd5_8_hr100_110_rec2,0.05,0.08,1.0,1.1,0.02,0.23977773865086238,0.1080324996217257,2.219496350546741,-0.15906196885078472,31.40589068342608,2010-02-02,2026-04-10,3928,32.40589068342608,0.662550916496945,0.8,1.1,0.8780364372469636,0.8,0.25891038696537677,0.07102851323828921,0.5883401221995926,0.14511201629327902,0.2629837067209776,312
dd5_10_hr90_110_rec2,0.05,0.1,0.9,1.1,0.02,0.2403681562140052,0.10830913000900491,2.219278801279456,-0.14593335536212532,31.656548338839364,2010-02-02,2026-04-10,3928,32.656548338839364,0.6356670061099796,0.8,1.1,0.8424089068825913,0.8,0.2634928716904277,0.028258655804480653,0.5896130346232179,0.06339103869653767,0.25330957230142565,298
dd3_8_hr90_100_rec2,0.03,0.08,0.9,1.0,0.02,0.23868584296080475,0.10763807822392796,2.217485177171668,-0.1558399835779212,30.94708305039667,2010-02-02,2026-04-10,3928,31.94708305039667,0.6421588594704686,0.8,1.0,0.8510121457489881,0.8,0.3276476578411405,0.0,0.590122199592668,0.11990835030549898,0.09241344195519348,358
dd3_8_hr90_100_rec3,0.03,0.08,0.9,1.0,0.03,0.23889817442005556,0.10779339603707852,2.2162598378279124,-0.15583998357792167,31.035823244469086,2010-02-02,2026-04-10,3928,32.035823244469086,0.6390784114052953,0.8,1.0,0.8469298245614035,0.8,0.29709775967413443,0.0,0.5043279022403259,0.11939918533604887,0.0,405
