secid,name,score,beta,selected
1.512800,银行,17.788527239608086,0.2,True
1.515170,食品饮料,-2.681720933619065,0.21749417326872705,False
1.512690,酒,-6.673359082642463,0.2,False
1.512010,医药,-7.610851801943394,0.433000978976172,False
0.159928,消费,-7.7180378919839026,0.21383805824243388,False
1.516160,新能源,-11.619042047952318,0.7086573885411841,False
1.515220,煤炭,-20.084065253396506,0.2,False
1.515080,红利策略,-29.16831488193902,0.24846009222191093,False
1.515880,通信,-30.157600620121848,0.921708912552565,False
1.512170,医疗,-30.89603548563137,0.6581502377577046,False
1.512000,证券,-34.426193385976006,0.4203731456495955,False
1.515790,光伏,-36.72315777857596,0.8615020998991829,False
1.512200,房地产,-38.40503076316178,0.6980525461327551,False
0.159995,半导体/芯片,-63.04173009460421,1.022543062087171,False
0.159770,机器人/中游制造,-67.7737686080214,0.8503293941082742,False
1.512980,传媒,-72.29755906219773,1.137933228269137,False
0.159745,建材,-74.30158640985579,0.8002950495630468,False
1.515210,钢铁,-95.1300194511093,1.005238912097585,False
0.159870,化工,-95.63414327546563,0.8574710559735966,False
1.512660,军工,-114.3785417634378,1.325360751303493,False
1.512400,有色金属,-142.69956746391335,1.5387674514185723,False
